Food,Tag
flour,celiac
soy sauce,celiac
beer,celiac
breadcrumbs,celiac
bread,celiac
wheat,celiac
barbecue sauce,celiac
yeast,celiac
mustard,celiac
wheat flour,celiac
farina,celiac
triticale,celiac
milk,lactose
cheese,lactose
butter,lactose
yogurt,lactose
ice cream,lactose
buttermilk,lactose
sour cream,lactose
cheese,lactose
cheesy,lactose
waffle,lactose
pancake,lactose
muffin,lactose
cake,lactose
cake mix,lactose
cereal,lactose
hot dog,lactose
bacon,lactose
sausage,lactose
cold cut,lactose
white sugar,diabetes
brown sugar,diabetes
sugar,diabetes
honey,diabetes
agave,diabetes
maple syrup,diabetes
corn syrup,diabetes
fructose corn syrup,diabetes
white flour,diabetes
white rice,diabetes
instant oatmeal,diabetes
margarine,diabetes
syrup,diabetes
chocolate,diabetes
sweetened yogurt,diabetes
